"";"MORc(Top3_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AI_pat";100;100;1;28;1,53571428571429
"AR";0;0;1;64;1,328125
"AT";0;0;1;64;1,328125
"AU";0;0;1;64;1,328125
"BD";100;100;1;28;1,53571428571429
"BE";0;0;1;64;1,328125
"BG";50;50;2;46;1,43191964285714
"BM";0;0;1;64;1,328125
"BR";50;50;2;46;1,43191964285714
"BZ";0;0;1;64;1,328125
"CA";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"CD";0;0;1;64;1,328125
"CH";0;0;1;64;1,328125
"CL";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"CM";0;0;1;64;1,328125
"CN";0;0;1;64;1,328125
"CO";0;0;1;64;1,328125
"CR";50;50;2;46;1,43191964285714
"CS";0;0;1;64;1,328125
"CU";0;0;1;64;1,328125
"CZ";0;0;1;64;1,328125
"DD";0;0;1;64;1,328125
"DE";0;0;1;64;1,328125
"DK";0;0;1;64;1,328125
"DO";100;100;1;28;1,53571428571429
"EG";0;0;1;64;1,328125
"ES";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"FI";0;0;1;64;1,328125
"FR";0;0;1;64;1,328125
"GB";0;0;1;64;1,328125
"GC";100;100;1;28;1,53571428571429
"GR";50;50;2;46;1,43191964285714
"HK";100;100;1;28;1,53571428571429
"HU";50;50;2;46;1,43191964285714
"ID";0;0;1;64;1,328125
"IE";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"IL";0;0;1;64;1,328125
"IN";50;50;2;46;1,43191964285714
"IR";50;50;2;46;1,43191964285714
"IS";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"IT";0;0;1;64;1,328125
"JA";0;0;1;64;1,328125
"JP";69,2505001429299;69,2505001429299;2;19,5;1,7224025974026
"KP";50;50;2;46;1,43191964285714
"KR";69,2505001429299;69,2505001429299;2;19,5;1,7224025974026
"KY";0;0;1;64;1,328125
"LB";0;0;1;64;1,328125
"LI";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"LU";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"MC";0;0;1;64;1,328125
"MN";100;100;1;28;1,53571428571429
"MU";0;0;1;64;1,328125
"MX";0;0;1;64;1,328125
"MY";0;0;1;64;1,328125
"NL";19,2505001429299;19,2505001429299;2;37,5;1,61860795454545
"NO";0;0;1;64;1,328125
"NZ";0;0;1;64;1,328125
"PA";100;100;1;28;1,53571428571429
"PC";100;100;1;28;1,53571428571429
"PL";100;100;1;28;1,53571428571429
"PT";100;100;1;28;1,53571428571429
"PY";0;0;1;64;1,328125
"RO";0;0;1;64;1,328125
"RU";50;50;2;46;1,43191964285714
"SA";0;0;1;64;1,328125
"SC";50;50;2;46;1,43191964285714
"SE";0;0;1;64;1,328125
"SG";100;100;1;28;1,53571428571429
"SK";100;100;1;28;1,53571428571429
"ST";0;0;1;64;1,328125
"SU";0;0;1;64;1,328125
"SV";0;0;1;64;1,328125
"TH";100;100;1;28;1,53571428571429
"TR";50;50;2;46;1,43191964285714
"TW";50;50;2;46;1,43191964285714
"US";0;0;1;64;1,328125
"UY";38,5010002858598;38,5010002858598;1;11;1,90909090909091
"VE";50;50;2;46;1,43191964285714
"YU";0;0;1;64;1,328125
"ZA";0;0;1;64;1,328125
